Job Description,Job Category
Under the direction of a Plumberassist with emergencies of routine and scheduled plumbing repairs of residence and public space.Duties will includebut are not limited to the following:1.Prepare for PHAS and corrects PHAS deficiencies.2.Assist Plumber with the following related tasks:perform work relating to installationalterationmaintenance and repair of piping of gaspotable waterplumbingheating and drainage system installmaintainand repair piping for watergasstormwastesoil and vent systems setmaintainand repair plumbing equipment and accessories.3.Carry toolsworking materials and equipment and prepares the work location.Move heavy valvespiping and fixtures.4.Cutdrill or other wise prepare openings as may be necessary for the installationmaintenance or repair of plumbing pipes and fixtures.5.Clean work area.NOTE:Assignments will be made throughout the five boroughs.,Legal Maintenance & Operations
The Assistant Project Manager will provide support to Project Manager(s) in preparing Project Management Plansexecuting front line management of construction contractsmonitoring reporting systems and ensuring prompt payments to contractors.Responsibilities includebut are not limited to the following:1.Assist in management of contracts through all project phases   designprocurementconstructionand closeout. 2.Monitor job phases to ensure compliance with timeliness and all contract deliverables. 3.Assist Project Manager with submissionssub-contractor approval processpaymentsRFIsschedulesidentify front loading of schedules and schedule of values.4.Maintain comprehensive project history files per HUD requirements and assists in audit of contracts by HUD or other stakeholders. 5.Coordinate meetings with external stakeholders.6.Coordinate project schedules with team.7.Prepare project correspondence and reportsrespond to inquiries.8.Review final ,Engineering Architecture & Planning
The Assistant Project Manager will provide support to Project Manager(s) in preparing Project Management Plansexecuting front line management of construction contractsmonitoring reporting systems and ensuring prompt payments to contractors.Responsibilities includebut are not limited to the following:1.Assist in management of contracts through all project phases   designprocurementconstructionand closeout. 2.Monitor job phases to ensure compliance with timeliness and all contract deliverables. 3.Assist Project Manager with submissionssub-contractor approval processpaymentsRFIsschedulesidentify front loading of schedules and schedule of values.4.Maintain comprehensive project history files per HUD requirements and assists in audit of contracts by HUD or other stakeholders. 5.Coordinate meetings with external stakeholders.6.Coordinate project schedules with team.7.Prepare project correspondence and reportsrespond to inquiries.8.Review final ,Engineering Architecture & Planning
Performs essential administrative functions that are critical to the day-to-day operation of the Division.Specific duties include but are not limited to:Tracks outgoing notices of appeal:tracks the preparationservice and filing of notices of appeal coordinates with Division Chief or designeetrial attorney and the Practice Unit to ensure that Notices of Appeal are timely preparedserved and filed and then duly entered in Law Manager. Maintains the Division electronic database:Using Law Manager and FileSitecreates and maintains electronic case files and an Appeals electronic Brief Bank.Case assignments:Tracks assignment of new appeals and motions to appealsâ€™ teams according to the Division rotation system and rules.Mail and email:Using Law Manager and other tools to identify and keep records of Appealsâ€™ incoming briefsdocumentsand other materials   and theirsubsequent distribution to assigned attorneysoutside divisions/agen,Clerical & Administrative Support
DoITT provides for the sustainedefficient and effective delivery of IT servicesinfrastructure and telecommunications to enhance service delivery to New York City's residentsbusinessesemployees and visitors. As the City's technology leaderDoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human servicesfrom education to economic development crossing the full spectrum of governmental operations.The successful candidate will serve as the Deputy Director of Audits and Accounts reporting to the Financial Management and Administration division. Responsibilities will include: Supervise and train the Audits and Accounts (A&A) staffreview and approvevouchers that are processed on a daily basisreview and voucher all Telecom p-card transactionsprocess A&A Unit productivity reports for executive management review utilizing FMS data as well as the A&A databaseensure compliance with all applicable City Cha,FinanceAccounting& Procurement
Oversees the designinstallationconfiguration and support of the NYCERS data and voice communications environments.This includes at the NYCERS premises (the Brooklyn Towerthe Brooklyn Mezzanine and Long Island City)the external connectivity (between the NYCERS locationsto Internet Service Providers (ISP)to Telephone Companies and to other NYC agencies)and the Fiber Channel (FICON) and Fiber Channel Over IP (FCIP) connections to the disk storage array (SAN) and the virtual tape library (VTL).Oversees the configurationallocation and utilization of disk on the SAN and the VTL.Responsibilities include the planningdesigninstallationconfigurationtestingtroubleshootingmaintenancecapacity monitoringbandwidth monitoringsecurity and support of all applicable devicessystems and components.Manages vendor servicesservice engagementsadherence to Service Level Agreements and the completion of work by the commitment dates.Develops and documents standard operating procedures,Information Technology & Telecommunications
Oversees the designinstallationconfiguration and support of the NYCERS data and voice communications environments.This includes at the NYCERS premises (the Brooklyn Towerthe Brooklyn Mezzanine and Long Island City)the external connectivity (between the NYCERS locationsto Internet Service Providers (ISP)to Telephone Companies and to other NYC agencies)and the Fiber Channel (FICON) and Fiber Channel Over IP (FCIP) connections to the disk storage array (SAN) and the virtual tape library (VTL).Oversees the configurationallocation and utilization of disk on the SAN and the VTL.Responsibilities include the planningdesigninstallationconfigurationtestingtroubleshootingmaintenancecapacity monitoringbandwidth monitoringsecurity and support of all applicable devicessystems and components.Manages vendor servicesservice engagementsadherence to Service Level Agreements and the completion of work by the commitment dates.Develops and documents standard operating procedures,Information Technology & Telecommunications
The Office of Collective Bargaining (OCB) is an independentimpartial governmental agency that resolves labor disputes between the City of New York and the City employeesâ€™ Unions.OCB seeks a Clerical College Aide who will perform clerical and related work.OCB College Aide will attend to the office reception deskanswering and routing telephone calls and directing visitors to the proper destination.He or she will also perform clerical work in relation to recordsfilesinvoices and reports using alphabetical and numerical procedures including data/control coding.He or she will perform clerical operations in an assigned areasuch as the filing of material and the searching of files for material difficult to locate.He or she will also prepare reports requiring the selection of data from simple records or statisticsand check records for accuracy of information and for conformity with established policy and procedures.,Clerical & Administrative Support
The Office of Collective Bargaining (OCB) is an independentimpartial governmental agency that resolves labor disputes between the City of New York and the City employeesâ€™ Unions.OCB seeks a Clerical College Aide who will perform clerical and related work.OCB College Aide will attend to the office reception deskanswering and routing telephone calls and directing visitors to the proper destination.He or she will also perform clerical work in relation to recordsfilesinvoices and reports using alphabetical and numerical procedures including data/control coding.He or she will perform clerical operations in an assigned areasuch as the filing of material and the searching of files for material difficult to locate.He or she will also prepare reports requiring the selection of data from simple records or statisticsand check records for accuracy of information and for conformity with established policy and procedures.,Clerical & Administrative Support
"** OPEN TO PERMANENT CLERICAL ASSOCIATES ONLY.YOU MUST CLEARLY STATE YOUR CIVIL SERVICE STATUS ON YOUR RESUME OR COVER LETTER.ALL OTHER CANDIDATES WILL NOT BE CONSIDERED. The Bureau of Communicable Diseases performs case investigations for over 73 infectious diseases or conditions and conducts outbreak investigations in New York City.-	Perform data entry of disease reportcase investigationand outbreak data forms into a computerized surveillance database.-	Maintain alpha-numeric filing system of disease reports and completed case investigations.-	Compile and prepare materials for mass mailings to medical providers and patients.-	Triage incoming phone inquiries from medical practitioners and/or the general public.-	Process and deliver mailreviewtriage and distribute disease reports in the Bureau.-	Create templates for case investigation forms using InDesign (or other) software.-	Participate in disease special projects.-	Assist BCD staff in administrative matters ",Clerical & Administrative Support
DoITT provides for the sustainedefficient and effective delivery of IT servicesinfrastructure and telecommunications to enhance service delivery to New York City's residentsbusinessesemployees and visitors. As the City's technology leaderDoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human servicesfrom education to economic development crossing the full spectrum of governmental operations.The successful candidate will serve as a Deputy Director of Audits and Accounts reporting to Financial Services Division.Responsibilities will include: Supervise and train the Audits and Accounts (A&A) staffreview and approve vouchers that are processed on a daily basisreview and voucher all Telecom p-card transactionsprocess A&A Unit productivity reports for executive management review utilizing FMS data as well as the A&A databaseverify output of data and make suggestions for improvementprepare track,FinanceAccounting& Procurement Information Te
DoITT provides for the sustainedefficient and effective delivery of IT servicesinfrastructure and telecommunications to enhance service delivery to New York City's residentsbusinessesemployees and visitors. As the City's technology leaderDoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human servicesfrom education to economic development crossing the full spectrum of governmental operations.The successful candidate will serve as a 311 Call Center Manager reporting to the 311 Citizen Service Center. Responsibilities will include: Manage a team of supervisorsteam leadersand call center representativesmonitor Call Center operations by managing and elevating risks and resolving issuesidentify training and coaching needs to ensure quality customer serviceoversee preparation of statistical reportsadministrative reportsand analysis utilizing advanced functions of Microsoft Office programs and ,Community & Business Services
**OPEN TO PERMANENT CLERICAL ASSOCIATES ONLY. YOU MUST CLEARLY STATE YOUR CIVIL SERVICE STATUS ON YOUR RESUME OR COVER LETTER.ALL OTHER RESUMES WILL NOT BE CONSIDERED.The NYC Department of Health is an agency recognized worldwide for being a leader in public health. The bureau is responsible for registering and certifying all birthdeathsspontaneous and induced terminations of pregnancy in NYC. The bureau issuesanalyzes and reports on 285 000 vital events each year. The bureau is a very large customer service operationproviding death certification services on a 24/7 basisissuing more than 900 000 certified copies of birth and death recordsand fulfilling hundreds of data requests annually. The Office of Vital Records is seeking a Clerical Associate III. DUTIES WILL INCLUDE BUT NOT BE LIMITED TO: --Assisting in walk-in customer and intra-government agency personnel in processing their work as it relates to issuance of vital records.--Reviewing applications and documents from the pu,Clerical & Administrative Support
DoITT provides for the sustainedefficient and effective delivery of IT servicesinfrastructure and telecommunications to enhance service delivery to New York City's residentsbusinessesemployees and visitors. As the City's technology leaderDoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human servicesfrom education to economic development crossing the full spectrum of governmental operations.The successful candidate will serve as an Application Support Reporting Specialist reporting to the Application Development Management Division. Responsibilities will include: Oversee the reporting of application development and supportoversee Business Objects Universe maintenanceunderstand the reports functionality of a business intelligence reporting tool and MS SQL reporting Servicesoversee the development of queries via SQL within the application to support userstriage reporting issues being registered,Information Technology & Telecommunications
The Office of Chief Medical Examiner investigates cases of persons who die within New York City from criminal violenceby accidentby suicidesuddenly when in apparent healthwhen unattended by a physicianin a correctional facility or in any suspicious or unusual manner or where an application is made pursuant to law for a permit to cremate a body of a person.We exist to provide answers in support of familiesvictims and community during times of profound need.The core values of the OCME are to put the mission of the agency firstto be truly dedicated and to have integrity in every aspect of our professional life. The selected candidate requires knowledge and skill in applying analytical and evaluative techniques to the identification and resolution of revenue and grants administration issues.Responsibilities will includebut not limited tothe following:â€¢ Process Payment vouchers using the City Financial Management System (FMS3)â€¢ Ensure invoices are properly su,FinanceAccounting& Procurement
The Office of Chief Medical Examiner investigates cases of persons who die within New York City from criminal violenceby accidentby suicidesuddenly when in apparent healthwhen unattended by a physicianin a correctional facility or in any suspicious or unusual manner or where an application is made pursuant to law for a permit to cremate a body of a person.We exist to provide answers in support of familiesvictims and community during times of profound need.The core values of the OCME are to put the mission of the agency firstto be truly dedicated and to have integrity in every aspect of our professional life. The selected candidate requires knowledge and skill in applying analytical and evaluative techniques to the identification and resolution of revenue and grants administration issues.Responsibilities will includebut not limited tothe following:â€¢ Process Payment vouchers using the City Financial Management System (FMS3)â€¢ Ensure invoices are properly su,FinanceAccounting& Procurement
"1.	Operate heating and domestic hot water boilersmonitor and inspect equipmentcomputer terminalsswitchesvalvesgaugesalarmssafety devicesand meters to detect leaks or malfunctions and to ensure equipment is operating efficiently and safely.2.	Stand watch and fire low-pressure boilersobserve and interpret readings on gaugesmetersand charts registering various aspects of boiler operation to ensure boilers are operating properly.3.	Maintainadjust and make repairs to boilersindustrial oil burnersheating and domestic hot water equipment and all auxiliariesanalyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.4.	Maintain daily logs of operationmaintenanceand safety activitiesincluding test resultsinstrument readingsand details of equipment malfunctions and maintenance work.5.	Each employee is required to attend Heating Plant Operations for New Heating Plant TechniciansCourse Code HTG099. Each employ",Maintenance & Operations
"1.	Operate heating and domestic hot water boilersmonitor and inspect equipmentcomputer terminalsswitchesvalvesgaugesalarmssafety devicesand meters to detect leaks or malfunctions and to ensure equipment is operating efficiently and safely.2.	Stand watch and fire low-pressure boilersobserve and interpret readings on gaugesmetersand charts registering various aspects of boiler operation to ensure boilers are operating properly.3.	Maintainadjust and make repairs to boilersindustrial oil burnersheating and domestic hot water equipment and all auxiliariesanalyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.4.	Maintain daily logs of operationmaintenanceand safety activitiesincluding test resultsinstrument readingsand details of equipment malfunctions and maintenance work.5.	Each employee is required to attend Heating Plant Operations for New Heating Plant TechniciansCourse Code HTG099. Each employ",Maintenance & Operations
DoITT provides for the sustainedefficient and effective delivery of IT servicesinfrastructure and telecommunications to enhance service delivery to New York City's residentsbusinessesemployees and visitors. As the City's technology leaderDoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human servicesfrom education to economic development crossing the full spectrum of governmental operations.The CSCL database is a centralized database under the Emergency Communications Transformation Program (ECTP) intended to support the emergency response agencies as well as all other City agencies. This database is unique in its complexity and contains over 100 feature classes and tablesamong which are represented all streetsaddressestransit infrastructureschools and other public and private facilities.The successful candidate will serve as a GIS Analyst reporting to the Application Development Manageme,Information Technology & Telecommunications
Under the supervision of the Chief of Facilitiesthe Facilities Central Supervisor is responsible for the coordination and smooth functioning of the day to day routine activities of the Facilities Section of the Administration Division. The duties will include the following:Supervises two staff members.Receives and responds to electronic requests for servicethis includes the use of the WASP system to generate reports and to close out work orders.Monitors electronic requests for Conference rooms.Prepares and monitors daily Work Orders.Coordinates the timely completion of special Work Orderssuch as the customized settings for conference rooms and audio/video requests.Monitors the use of Verizon Conferencing System by the various Divisions.Prepares Building related Work Orders via the Building's Engines program.Monitors the use of Building servicesand verifies related monthly charges.Monitors the maintenance schedule of the agency's vehicles.Checks drivers' licenses with DOT's on-li,Clerical & Administrative Support
DoITT provides for the sustainedefficient and effective delivery of IT servicesinfrastructure and telecommunications to enhance service delivery to New York City's residentsbusinessesemployees and visitors. As the City's technology leaderDoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human servicesfrom education to economic development crossing the full spectrum of governmental operations.The successful candidate will serve as the Director of Infrastructure Build Coordinators reporting to the IT Services Division. Responsibilities will include: Manage the day to day activities of a team of Infrastructure Build Coordinators responsible for ticket/project allocationqualitymetrics and reportingwork with management of other infrastructureoperational and engineering teams to ensure timely completion of given internal and agency projectsprovide leadership and guidance in managingmonitoringr,Information Technology & Telecommunications
This position encompasses responsible work of varying degrees of difficulty and responsibility performed under supervision of higher level staff and/or attorneys. Under supervisionwith latitude for independent initiative and judgmentmanages discovery/caseload through various stages of legal proceedings or performs moderately difficult paralegal workperforms one or more of the following types of paralegal duties:Assists attorneys in the Family court intake office with intake related tasks including but not limited to: telephone inquiriesmaking copies of forms at the paralegal deskreschedulingaddress verifyingpreparingcopying and filing of petitionsmotionsorders family court minutesescorts witnessespicks up and distributes temporary orders of protectionsubpoenaswarrantsprobation referral formsand dispositions. Maintains case tracking using the Law Manager program and notifies police officersand chemists using the NYPD Appearance Control system. Schedules appointments for wit,Clerical & Administrative Support Legal
"Under supervisionthe selected candidate will maintaincleanrepair and/or tend to equipment and systems used in heatingassist in field inspections and testing of equipment. Specific duties shall includebut not be limited to the following:1.	Maintain heating operations at development locations.2.	Tend to and operate heating equipmentmonitor CHAS equipment.3.	Assist in the inspection and testing of boilers and related equipment.4.	Dismantle or assemble heating equipmentrequisition parts as required. 5.	Conduct and schedule tank inspections.6.	Respond to all heating/hot water service disruptions.7.	Repair boiler/burners and distribution system.8.	Trouble-shoot and provide technical expertise for heating matters.9.	Assist skilled trade administrators in the review of skilled trade tickets.10.	Follow-up on all heating issues at assigned development locations.Candidates selected must be available to work and travel throughout the five boroughsand will be required to work rot",Maintenance & Operations
"Under supervisionthe selected candidate will maintaincleanrepair and/or tend to equipment and systems used in heatingassist in field inspections and testing of equipment. Specific duties shall includebut not be limited to the following:1.	Maintain heating operations at development locations.2.	Tend to and operate heating equipmentmonitor CHAS equipment.3.	Assist in the inspection and testing of boilers and related equipment.4.	Dismantle or assemble heating equipmentrequisition parts as required. 5.	Conduct and schedule tank inspections.6.	Respond to all heating/hot water service disruptions.7.	Repair boiler/burners and distribution system.8.	Trouble-shoot and provide technical expertise for heating matters.9.	Assist skilled trade administrators in the review of skilled trade tickets.10.	Follow-up on all heating issues at assigned development locations.Candidates selected must be available to work and travel throughout the five boroughsand will be required to work rot",Maintenance & Operations
"JOB DESCRIPTION:Under supervisionwith latitude for independent action and the exercise of independent judgmentthe Network Engineer I is responsible for managing and maintaining all LAN/WAN infrastructure and providing Tier III support. The candidate specific duties will include: Installconfigureand support all LAN/WAN infrastructure i.e. routersswitchesWAN accelerationsecurity and access devices Use monitoring tools i.e.Cisco PrimeSolarWindsRiverbed CascadeRiverbed Steelheads IntruShieldsyslog serverand Foundstone Monitor network utilization to ensure optimum network performance by alleviating the bottlenecks Apply update patches to infrastructure componentsincluding security updates on a regular schedule Monitor network security logs collected by VPN and firewall devicesFollow established Change Management policies and procedures to apply any changes to the infrastructure Participate in disaster recovery tests f",Information Technology & Telecommunications
"JOB DESCRIPTION:Under supervisionwith latitude for independent action and the exercise of independent judgmentthe Network Engineer I is responsible for managing and maintaining all LAN/WAN infrastructure and providing Tier III support. The candidate specific duties will include: Installconfigureand support all LAN/WAN infrastructure i.e. routersswitchesWAN accelerationsecurity and access devices Use monitoring tools i.e.Cisco PrimeSolarWindsRiverbed CascadeRiverbed Steelheads IntruShieldsyslog serverand Foundstone Monitor network utilization to ensure optimum network performance by alleviating the bottlenecks Apply update patches to infrastructure componentsincluding security updates on a regular schedule Monitor network security logs collected by VPN and firewall devicesFollow established Change Management policies and procedures to apply any changes to the infrastructure Participate in disaster recovery tests f",Information Technology & Telecommunications
DoITT provides for the sustainedefficient and effective delivery of IT servicesinfrastructure and telecommunications to enhance service delivery to New York City's residentsbusinessesemployees and visitors. As the City's technology leaderDoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human servicesfrom education to economic development crossing the full spectrum of governmental operations. The successful candidate will serve as A Research Assistant reporting to the Office of the General Counsel which consists of eight attorneys in the Legal Affairs Unit and six analysts in the Quality Oversight Unit.The selected candidate will perform a wide range of assignments such as: Formatting contracts and other complex documentsproof-reading draft contracts and other documents to correct typographicalgrammatical and other errorsverifying accuracy of tables of contents and internal document headingsin,Clerical & Administrative Support Legal
The New York City Department of Transportationâ€˜s Division of Information Technology & Telecom seeks to hire one Systems Administrator in our Hosting Unit.The Systems Administrator primary role will be to serve as a technical resource for supporting and maintaining our CommVault Simpana Backup Solution. Secondary roles will encompass support and maintenance of Microsoft Active DirectoryMicrosoft ExchangeMicrosoft System CenterMicrosoft Windows Server and other applications in the agency by providing installationmaintenancetroubleshootingsecurityadministrationaccount supervision and resolution of software and hardware issues as well as develops new system designs.Under the direction of the Unit Head with wide latitude in exercising of independent initiative and judgment the Systems Administrator duties will includebut are not limited to: Installconfiguremonitor & maintain system backupsrotationspoliciesfile archivingVM backupscontent indexingde-duplication,Information Technology & Telecommunications
The New York City Department of Transportationâ€˜s Division of Information Technology & Telecom seeks to hire one Systems Administrator in our Hosting Unit.The Systems Administrator primary role will be to serve as a technical resource for supporting and maintaining our CommVault Simpana Backup Solution. Secondary roles will encompass support and maintenance of Microsoft Active DirectoryMicrosoft ExchangeMicrosoft System CenterMicrosoft Windows Server and other applications in the agency by providing installationmaintenancetroubleshootingsecurityadministrationaccount supervision and resolution of software and hardware issues as well as develops new system designs.Under the direction of the Unit Head with wide latitude in exercising of independent initiative and judgment the Systems Administrator duties will includebut are not limited to: Installconfiguremonitor & maintain system backupsrotationspoliciesfile archivingVM backupscontent indexingde-duplication,Information Technology & Telecommunications
The successful candidate will serve as a 311 Call Center Manager. Responsibilities will include: manage a team of supervisorsteam leadersand call center representativesmonitor Call Center operations by managing and elevating risks and resolving issuesidentify training and coaching needs to ensure quality customer serviceoversee preparation of statistical reportsadministrative reportsand analysis utilizing advanced functions of Microsoft Office programs and call center technologiesrecommend improved business processes and operational efficienciesdevelop project plans and detailed documentationestablish and maintain cooperative relationships with executive management and support teams concerning implementation and coordination of Call Center servicesconduct meetings and presentationsutilize automated systemssocial media toolsand business intelligence applications to support data-driven strategiesserve as a liaison on behalf of 311 with internal and external entitiesand oversee s,Clerical & Administrative Support Community & Bus
"Reporting to the Executive Director of the ECE Office of Data Management and Analysisthe Tracking and Monitoring Data Analystwith wide latitude for independent decision-making and actionhas the following responsibilities:Provide hands-on technical assistance and individual guidance to contracted programs as they navigate the centralized data system known as ACCIS and Web-based Enrollment System (WES) Resolve data inconsistencies and correct data errors by assisting contracted programs with data entry down to the individual case levelExtract data sets from ACCISCreate relevant and accurate statistical reports accessible to all ECE staffSupervise or conduct complex studies and surveys of management and methods related to ECE monitoring compliance using quantitative analysiscost analysis and other research techniquesProduce trending dataforecastsand impacts of policy changesReview and modify existing data requests and reports to ensure",Social Services
"Reporting to the Executive Director of the ECE Office of Data Management and Analysisthe Tracking and Monitoring Data Analystwith wide latitude for independent decision-making and actionhas the following responsibilities:Provide hands-on technical assistance and individual guidance to contracted programs as they navigate the centralized data system known as ACCIS and Web-based Enrollment System (WES) Resolve data inconsistencies and correct data errors by assisting contracted programs with data entry down to the individual case levelExtract data sets from ACCISCreate relevant and accurate statistical reports accessible to all ECE staffSupervise or conduct complex studies and surveys of management and methods related to ECE monitoring compliance using quantitative analysiscost analysis and other research techniquesProduce trending dataforecastsand impacts of policy changesReview and modify existing data requests and reports to ensure",Social Services
The successful candidate will serve as a 311 Escalation Line Team Leader reporting to the 311 Customer Service Center. Responsibilities will include: assist Call Center Representatives (CCRs) in 24/7 customer service operationsmonitor CCR performanceidentify coaching needs to ensure quality customer servicehandle priority calls and escalated callsprovide support for 311 operations and customer service programsmaintain detailed documentationprepare reports using computer programs and spreadsheet applicationsmaintain and update database systemscommunicate updates as neededconduct team meetings as neededgather and validate content requestsutilize automated systemsworkforce management toolscomplex applicationsand call center technologies to support data-driven strategiesand assist in coordination of special projects as assigned. Note special working conditions for the Associate Call Center Representative position - Some of the physical activities performed and environmental conditio,Community & Business Services
